PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR
911	391	202.543	-2.10501	96	0	0.0865733	2.13917e-05	0	233.452	8.60414	23.27	0.0403822	0	0
856	375	208.277	5.14974	6240	0	0.0788474	1.69532e-05	0	331.631	7.89657	34.5546	0.0250102	0	0
577	574	159.778	5.20977	96	0	0.0677152	3.71479e-05	0	297.368	15.6765	16.3634	0.0253437	0	0
518	563	184.421	3.65581	6240	0	0.076768	1.6522e-05	0	227.793	7.8844	26.4472	0.0165214	0	0
522	239	191.304	1.8048	96	0	0.047568	1.49228e-05	0	227.679	6.35456	30.5432	0.0228622	0	0
840	337	177.472	5.70079	96	0	0.0743113	1.4322e-05	0	256.473	6.67642	32.9016	0.0141584	0	0
337	329	192.011	-1.65284	96	0	0.0880014	2.01884e-05	0	264.501	8.81559	25.199	0.028686	0	0
311	306	227.107	-0.266291	96	0	0.0903211	1.66974e-05	0	243.604	7.03258	31.1928	0.0583149	0	0
587	268	220.178	3.46542	6752	0	0.0273424	7.98789e-06	0	257.156	3.49509	62.5052	0.033187	0	0
838	459	175.299	5.73474	6240	0	0.0974264	2.50203e-05	0	272.315	10.7561	22.1827	0.0268211	0	0
842	581	182.57	5.38603	6240	0	0.0761677	1.99989e-05	0	249.374	8.79526	27.8278	0.0185455	0	0
271	110	154.934	-0.638366	96	0	0.0935744	2.15929e-05	0	265.681	10.021	25.2115	0.0526983	0	0
503	598	155.632	2.3608	96	0	0.0728156	1.16188e-05	0	249.409	5.2775	41.2284	0.0427914	0	0
295	628	199.136	0.870285	96	0	0.0798575	1.74333e-05	0	212.241	6.73617	27.2777	0.0291613	0	0
529	545	206.136	2.95409	96	0	0.0774436	1.28706e-05	0	252.453	5.83493	36.4282	0.0266112	0	0
1003	466	165.74	7.60386	96	0	0.0709089	1.54444e-05	0	260.907	6.41833	35.5921	0.0399082	0	0
336	610	192.309	-1.68739	96	0	0.0844001	1.84756e-05	0	242.514	8.12465	27.3328	0.0273371	0	0
533	192	213.636	1.73157	96	0	0.0530644	1.43015e-05	0	241.154	6.36485	35.6425	0.0526303	0	0
529	66	206.107	2.10993	96	0	0.0721228	1.36826e-05	0	352.601	7.31616	44.9814	0.0240169	0	0
1628	89	189.735	6.15838	96	0	0.0737898	1.50484e-05	0	243.51	6.97641	32.9514	0.0219068	0	0
481	251	147.955	1.1339	96	0	0.0640329	1.21805e-05	0	160.061	4.60227	31.3347	0.0616479	0	0
839	635	177.888	5.10147	96	0	0.0759878	1.45924e-05	0	274.611	8.18214	30.5112	0.0205196	0	0
590	568	228.221	4.514	96	0	0.0369949	1.50916e-05	0	288.558	6.98685	36.7966	0.0504995	0	0
911	466	202.795	-1.73029	96	0	0.0836522	1.57967e-05	0	227.765	6.82604	29.5429	0.0395813	0	0
583	391	212.885	4.86884	96	0	0.0952384	1.87725e-05	0	186.825	7.69963	20.6601	0.0255702	0	0
504	540	157.246	3.12434	96	0	0.0725595	1.64022e-05	0	326.715	8.76476	34.788	0.0441006	0	0
589	56	226.549	3.14257	96	0	0.0424668	1.28536e-05	0	261.638	5.70181	37.5053	0.0448304	0	0
511	483	170.386	2.88726	96	0	0.048832	1.13438e-05	0	256.914	5.17897	41.1331	0.046641	0	0
592	60	231.988	3.37415	96	0	0.0840444	1.75945e-05	0	251.165	7.56582	29.6704	0.0584125	0	0
1228	588	181.347	10.3795	96	0	0.0948768	1.76892e-05	0	265.309	8.1957	28.378	0.0197938	0	0
1195	276	139.967	7.02659	96	0	0.0792737	1.7831e-05	0	231.761	8.05193	25.6989	0.0417729	0	0
844	280	183.737	5.04247	96	0	0.0789634	1.94092e-05	0	145.751	9.13678	17.1257	0.0205697	0	0
1228	498	180.355	10.6379	96	0	0.0623814	1.32159e-05	0	204.639	5.51133	33.8519	0.0257729	0	0
578	396	159.77	4.64748	96	0	0.0687067	1.50446e-05	0	265.021	7.03547	34.1866	0.0275796	0	0
568	157	141.653	3.46055	96	0	0.0884457	1.69938e-05	0	240.245	7.99815	29.6588	0.0344488	0	0
841	348	178.433	5.54717	64	0	0.0806779	2.59154e-05	0	78.0676	8.90809	13.3198	0.0166315	0	0
506	351	159.831	2.32177	96	0	0.0828007	1.63581e-05	0	278.764	7.49345	31.1799	0.03353	0	0
474	223	140.652	-0.409027	96	0	0.0540149	1.43514e-05	0	237.393	5.88327	34.7437	0.0287962	0	0
590	217	227.498	3.00307	96	0	0.0920199	1.86273e-05	0	270.097	8.66176	28.5169	0.0429987	0	0
849	56	196.226	3.82448	96	0	0.0409963	1.12946e-05	0	108.379	5.6662	31.4939	0.0292114	0	0
268	354	148.408	0.588784	96	0	0.0917737	1.98809e-05	0	274.077	8.34038	28.8997	0.0524572	0	0
341	550	200.759	-1.7114	96	0	0.0852151	1.51923e-05	0	197.561	6.49823	27.3287	0.0300584	0	0
918	152	217.052	-2.52001	96	0	0.0531634	1.3423e-05	0	192.55	5.79916	32.0677	0.0598606	0	0
516	36	181.113	1.896	96	0	0.0197187	8.93326e-06	0	291.943	4.27804	57.8861	0.0269138	0	0
568	624	142.745	3.80771	96	0	0.0889821	1.83757e-05	0	275.529	8.11217	28.3941	0.0432813	0	0
518	382	183.031	2.92393	96	0	0.0754622	1.20237e-05	0	191.217	5.42205	32.5819	0.0167812	0	0
272	480	155.884	0.17373	96	0	0.0956624	1.96051e-05	0	277.786	8.42231	28.495	0.045893	0	0
468	627	134.521	1.15374	96	0	0.0712326	1.48778e-05	0	243.425	6.45034	34.4353	0.0466745	0	0
506	211	160.445	1.38695	96	0	0.0720726	1.28445e-05	0	309.917	6.32451	42.6685	0.0420672	0	0
847	61	192.973	4.5798	96	0	0.0644892	1.55886e-05	0	291.05	7.34877	35.2988	0.0375228	0	0
1228	377	180.06	10.6968	96	0	0.0611843	1.29348e-05	0	207.769	5.57992	33.2589	0.0264345	0	0
506	478	160.498	2.63031	96	0	0.0779617	1.48019e-05	0	268.063	7.02165	35.2408	0.0382896	0	0
583	629	214.964	5.0611	96	0	0.0874708	2.19263e-05	0	217.22	9.22803	21.6384	0.0296684	0	0
269	624	152.105	0.175919	96	0	0.0955293	2.02422e-05	0	265.315	9.17026	26.4601	0.0288279	0	0
521	600	190.677	2.7843	96	0	0.0865387	1.33711e-05	0	295.834	6.32603	40.7979	0.0270933	0	0
590	41	228.313	2.8169	96	0	0.101113	2.37393e-05	0	218.301	10.4157	19.444	0.0400317	0	0
846	528	190.017	6.02142	96	0	0.0756128	1.67688e-05	0	239.346	7.94392	28.3658	0.024322	0	0
311	281	226.688	-1.23171	96	0	0.0711408	1.54724e-05	0	272.454	7.17772	35.8901	0.0700132	0	0
344	477	241.057	0.0535441	96	0	0.0590963	1.51456e-05	0	251.445	6.7198	33.7467	0.155659	0	0
1824	44	212.022	5.41752	96	0	0.0870174	1.94811e-05	0	320.839	9.22543	30.3179	0.0224259	0	0
1189	28	134.17	5.89649	96	0	0.093901	2.32415e-05	0	236.645	9.10713	21.156	0.0546422	0	0
364	409	246.004	0.790895	96	0	0.0574319	1.02805e-05	0	210.179	4.36363	44.0118	0.0853244	0	0
590	161	227.811	3.49876	96	0	0.0769092	1.85471e-05	0	249.072	7.90357	28.7968	0.0461611	0	0
1220	414	165.189	10.5532	6752	0	0.0338405	1.28273e-05	0	293.254	6.17055	41.342	0.0287762	0	0
271	168	154.453	-0.0307648	64	0	0.0635859	1.79329e-05	0	312.423	9.11474	35.9737	0.0456879	0	0
835	137	168.681	4.02452	96	0	0.0416722	1.00514e-05	0	241.214	4.65227	48.02	0.0482129	0	0
339	346	195.143	-2.13406	96	0	0.0851579	1.84925e-05	0	251.582	7.57979	26.2115	0.0220497	0	0
844	257	184.369	4.18332	96	0	0.0791474	1.93162e-05	0	198.6	7.50259	24.7178	0.0189267	0	0
919	357	217.75	-1.80042	96	0	0.053889	1.68088e-05	0	208.652	7.04236	29.3933	0.0432768	0	0
843	501	183.665	5.46776	96	0	0.0777982	1.6588e-05	0	230.03	7.45384	28.0185	0.0190739	0	0
926	105	236.031	-1.90784	96	0	0.0987492	1.91309e-05	0	236.933	7.47362	26.8828	0.143517	0	0
593	410	232.663	3.494	96	0	0.0865164	1.6719e-05	0	275.983	7.39247	31.2053	0.0521765	0	0
591	236	228.974	3.05031	96	0	0.0379254	9.92382e-06	0	213.523	4.72987	41.5174	0.050448	0	0
912	161	204.902	-2.67815	96	0	0.0923669	2.32735e-05	0	207.15	8.75819	21.2932	0.0449717	0	0
519	331	184.881	3.14147	64	0	0.0755922	1.80479e-05	0	260.642	7.99605	27.4283	0.0179948	0	0
534	541	216.198	2.66442	6752	0	0.053501	1.14296e-05	0	240.829	5.45975	40.8135	0.0348375	0	0
1237	433	153.027	8.69253	96	0	0.098442	2.50143e-05	0	234.173	9.4968	20.3974	0.0300163	0	0
914	233	208.215	-2.60848	96	0	0.0751	1.38979e-05	0	316.546	7.71779	36.9719	0.0463262	0	0
510	508	168.926	2.89231	64	0	0.0772957	1.89751e-05	0	151.895	9.38021	18.7358	0.0516274	0	0
582	612	212.587	5.27109	96	0	0.0908175	2.19008e-05	0	244.907	10.2577	23.0861	0.0259647	0	0
272	559	156.589	0.488229	96	0	0.097755	1.78537e-05	0	220.063	7.66866	25.2533	0.0528833	0	0
481	159	148.422	1.70067	6752	0	0.098372	1.95586e-05	0	290.008	9.40128	28.8316	0.0254261	0	0
272	184	155.898	-0.221528	96	0	0.0953293	1.75564e-05	0	259.97	7.0168	29.4528	0.0656244	0	0
337	267	192.428	-3.12267	96	0	0.0895129	2.27019e-05	0	287.649	10.2618	25.2568	0.0239614	0	0
313	25	232.303	-0.252197	96	0	0.0885448	1.92254e-05	0	250.275	7.89724	25.7367	0.0921686	0	0
344	490	241.315	0.138098	96	0	0.0606534	1.57513e-05	0	260.147	6.84466	35.3694	0.212603	0	0
345	594	243.155	0.37997	96	0	0.0431447	1.01687e-05	0	153.631	4.02047	40.5425	0.133843	0	0
855	379	207.382	5.52738	96	0	0.0808386	1.75831e-05	0	225.888	7.21686	26.3845	0.0240446	0	0
1224	35	175.401	9.61395	96	0	0.0772898	2.78664e-05	0	208.84	11.0286	18.1549	0.0399253	0	0
302	125	211.912	-0.955326	96	0	0.0538504	1.36476e-05	0	260.207	5.87861	38.3965	0.0534429	0	0
