PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW
911	391	202.543	-2.10501	96	0	0.0865733	2.13917e-05	0	233.452	8.60414	23.27	0.0403822	0	0	500	-0	1	-0	92.2752	91.2212	17.4241	23.5743	11.675	2.10778	1.33547	0.771954	-0.790461	0.771954	-0.718836
856	375	208.277	5.14974	6240	0	0.0788474	1.69532e-05	0	331.631	7.89657	34.5546	0.0250102	0	0	500	-0	500	-0	300	-0	300	-0	24.331	2.14889	1.25231	0.397281	-0.525503	0.397281	0.0215558
577	574	159.778	5.20977	96	0	0.0677152	3.71479e-05	0	297.368	15.6765	16.3634	0.0253437	0	0	500	-0	104.538	36.3978	300	-0	59.6471	31.6824	15.4247	3.79409	2.26578	1.10476	0.110987	1.10476	1.18158
518	563	184.421	3.65581	6240	0	0.076768	1.6522e-05	0	227.793	7.8844	26.4472	0.0165214	0	0	500	-0	273.911	54.7307	300	-0	147.197	54.2936	8.99638	1.25907	1.7882	0.617082	-0.287612	0.617082	4.07648
522	239	191.304	1.8048	96	0	0.047568	1.49228e-05	0	227.679	6.35456	30.5432	0.0228622	0	0	500	-0	256.897	52.3292	137.218	58.288	0.0013867	-0	18.1492	2.96768	0.976079	0.650284	-1.03185	0.650284	0.19491
840	337	177.472	5.70079	96	0	0.0743113	1.4322e-05	0	256.473	6.67642	32.9016	0.0141584	0	0	337.469	72.1316	271.964	40.3699	69.5934	68.3236	82.9818	42.6085	17.4194	1.70665	1.00173	0.393888	-1.50863	0.393888	0.056127
337	329	192.011	-1.65284	96	0	0.0880014	2.01884e-05	0	264.501	8.81559	25.199	0.028686	0	0	292.259	54.0544	229.492	35.5053	-42.5146	50.0862	-100.873	37.0671	12.1963	2.0125	0.951838	0.602728	-1.65607	0.602728	1.92279
311	306	227.107	-0.266291	96	0	0.0903211	1.66974e-05	0	243.604	7.03258	31.1928	0.0583149	0	0	101.631	29.7965	500	-0	27.239	25.4218	300	-0	15.7082	2.28791	1.11861	0.523825	-0.367262	0.523825	1.62678
587	268	220.178	3.46542	6752	0	0.0273424	7.98789e-06	0	257.156	3.49509	62.5052	0.033187	0	0	500	-0	65.0483	9.15627	181.375	39.6236	4.6961	6.6262	32.3992	2.81345	1.67818	0.307262	-0.0196591	0.307262	0.0105306
838	459	175.299	5.73474	6240	0	0.0974264	2.50203e-05	0	272.315	10.7561	22.1827	0.0268211	0	0	500	-0	303.94	57.055	300	-0	152.409	56.6181	9.835	1.81172	0.98027	0.726896	-1.13437	0.726896	-0.925159
