MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
10.4853	10.3919	10.5709	10.3217	10.6524	10.5267	10.4956
10.8483	10.7542	10.9361	10.674	11.062	10.8533	10.8622
10.5059	10.4145	10.586	10.3402	10.6611	10.55	10.5143
10.4359	10.3516	10.514	10.2813	10.5914	10.4567	10.446
10.1996	10.1098	10.2806	10.0388	10.3673	10.2467	10.2102
10.5861	10.4936	10.671	10.4166	10.7575	10.6433	10.5961
10.614	10.5242	10.6961	10.4477	10.7744	10.6667	10.6238
10.6729	10.5817	10.7598	10.5083	10.8415	10.69	10.684
10.0067	9.92253	10.092	9.84563	10.2187	10.0133	10.0219
10.5779	10.4865	10.6654	10.4151	10.7506	10.5967	10.5895
10.4651	10.3716	10.5471	10.3029	10.6291	10.48	10.4748
10.6359	10.5476	10.7243	10.4704	10.8076	10.6433	10.6482
10.5989	10.5066	10.6865	10.4378	10.773	10.62	10.6104
10.5128	10.4248	10.5925	10.3529	10.665	10.5033	10.5226
10.6855	10.6013	10.757	10.531	10.8258	10.7367	10.6934
10.658	10.5688	10.7688	10.4806	10.8897	10.6433	10.6788
10.6467	10.5564	10.7295	10.4841	10.8095	10.6433	10.657
10.473	10.3918	10.5556	10.3191	10.6548	10.48	10.4867
10.864	10.7693	10.9594	10.6951	11.0589	10.8767	10.8777
10.5331	10.4429	10.6153	10.3699	10.6943	10.5733	10.5435
10.3503	10.2577	10.4292	10.1891	10.5027	10.3633	10.3587
10.6575	10.5664	10.7472	10.4868	10.8304	10.6667	10.6693
10.4884	10.3992	10.5667	10.3241	10.6322	10.5033	10.4966
10.5778	10.4809	10.6638	10.4131	10.7468	10.62	10.5875
10.4728	10.3796	10.5602	10.3094	10.6457	10.5033	10.4841
10.6933	10.603	10.7771	10.5303	10.8573	10.69	10.704
10.3465	10.2561	10.4282	10.1834	10.5122	10.3867	10.3568
10.4835	10.394	10.5684	10.3178	10.6478	10.48	10.494
10.5065	10.4173	10.5942	10.3446	10.6774	10.5267	10.5186
10.7159	10.618	10.8142	10.5509	10.9277	10.7367	10.7307
10.5147	10.4232	10.6032	10.3498	10.6877	10.5267	10.5263
10.2165	10.1245	10.3068	10.0454	10.3951	10.2233	10.2286
10.4336	10.3403	10.5135	10.2631	10.5832	10.4567	10.4404
10.5209	10.4291	10.6022	10.3563	10.6895	10.55	10.5314
10.5938	10.4967	10.6869	10.4228	10.79	10.6433	10.6058
9.85691	9.76043	9.94167	9.67771	10.0219	9.87333	9.86499
10.5796	10.4828	10.6804	10.4086	10.79	10.5733	10.5949
10.2885	10.1997	10.3755	10.1241	10.462	10.2933	10.3003
10.7052	10.6161	10.7893	10.5423	10.874	10.76	10.7166
9.838	9.74487	9.91874	9.66457	10.0064	9.80333	9.84649
10.6726	10.584	10.7587	10.5121	10.8594	10.7133	10.6858
10.4503	10.3595	10.5367	10.2908	10.6152	10.48	10.4611
10.1795	10.0866	10.2677	10.0159	10.3659	10.2	10.192
10.0585	9.97944	10.1358	9.9116	10.2324	10.06	10.0717
10.7237	10.6361	10.8037	10.5668	10.8876	10.7133	10.7351
10.5054	10.4125	10.588	10.3369	10.6682	10.55	10.514
10.6658	10.5736	10.7575	10.5005	10.8554	10.69	10.6785
10.5625	10.4739	10.6448	10.4051	10.7326	10.5967	10.5746
10.8198	10.7233	10.9005	10.6443	11.0226	10.8533	10.83
10.6694	10.5706	10.7704	10.4923	10.8997	10.6667	10.6849
10.5173	10.4294	10.5913	10.3505	10.6505	10.5733	10.524
10.6946	10.5885	10.7832	10.5073	10.9223	10.7133	10.7061
10.5671	10.4792	10.6479	10.404	10.7222	10.62	10.5766
10.6333	10.5434	10.7202	10.4687	10.8089	10.6433	10.6452
10.8125	10.7196	10.9024	10.6466	10.9953	10.83	10.8246
10.493	10.4012	10.5872	10.3268	10.684	10.5033	10.5069
10.483	10.3933	10.5633	10.3192	10.6454	10.5267	10.4927
10.6768	10.5835	10.7581	10.5057	10.8584	10.7133	10.6873
10.4773	10.3886	10.5565	10.3123	10.6301	10.5267	10.486
10.7247	10.6342	10.8009	10.5597	10.8733	10.76	10.7326
10.5499	10.4596	10.6375	10.3864	10.7285	10.55	10.5625
10.3435	10.2521	10.4261	10.1818	10.5085	10.3867	10.3536
