MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG	ENTROPY
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
9.14051	9.12647	9.16895	9.121	9.18595	9.14	9.15612	198.848
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
9.17112	9.16308	9.17917	9.13787	9.2552	9.18	9.18748	239.828
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
