PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW	OII_3726_SEQW_ERR	OII_3729_FLUX	OII_3729_FLUX_ERR	NEIII_3869_FLUX	NEIII_3869_FLUX_ERR	H_DELTA_FLUX	H_DELTA_FLUX_ERR	H_BETA_FLUX	H_BETA_FLUX_ERR	H_BETA_CONT	H_BETA_CONT_ERR	H_BETA_REQW	H_BETA_REQW_ERR	H_BETA_EQW	H_BETA_EQW_ERR	OIII_5007_CONT	OIII_5007_CONT_ERR	OIII_5007_REQW	OIII_5007_REQW_ERR	OIII_5007_EQW	OIII_5007_EQW_ERR	OIII_5007_FLUX	OIII_5007_FLUX_ERR	OI_6300_CONT	OI_6300_CONT_ERR	OI_6300_REQW	OI_6300_REQW_ERR	OI_6300_EQW	OI_6300_EQW_ERR	OI_6300_FLUX	OI_6300_FLUX_ERR	H_ALPHA_CONT	H_ALPHA_CONT_ERR	H_ALPHA_REQW	H_ALPHA_REQW_ERR	H_ALPHA_EQW	H_ALPHA_EQW_ERR	H_ALPHA_FLUX	H_ALPHA_FLUX_ERR	NII_6584_CONT	NII_6584_CONT_ERR	NII_6584_REQW	NII_6584_REQW_ERR	NII_6584_EQW	NII_6584_EQW_ERR	NII_6584_FLUX	NII_6584_FLUX_ERR	SII_6717_CONT	SII_6717_CONT_ERR	SII_6717_REQW	SII_6717_REQW_ERR	SII_6717_EQW	SII_6717_EQW_ERR	SII_6717_FLUX	SII_6717_FLUX_ERR	SII_6731_CONT	SII_6731_CONT_ERR	SII_6731_REQW	SII_6731_REQW_ERR	SII_6731_EQW	SII_6731_EQW_ERR	SII_6731_FLUX	SII_6731_FLUX_ERR	H_BETA_ABS	H_BETA_ABS_MODEL	H_ALPHA_ABS	H_ALPHA_ABS_MODEL	CA_K_ABS	CA_H_ABS	NA_D_ABS	OII_SIGMA	OII_FLUX	OII_FLUX_ERR	OII_VOFF	OII_CHI2	OIII_SIGMA	OIII_FLUX	OIII_FLUX_ERR	OIII_VOFF	OIII_CHI2	SPECTOFIBER
911	391	202.543	-2.10501	96	0	0.0865733	2.13917e-05	0	233.452	8.60414	23.27	0.0403822	0	0	500	-0	1	-0	92.2752	91.2212	17.4241	23.5743	11.675	2.10778	1.33547	0.771954	-0.790461	0.771954	-0.718836	0.539038	-4.45512	3.41538	-2.67	2.84173	2.63656	7.31546	15.4354	7.36804	31.5273	1.17119	1.5314	0.195718	-0.510513	0.195718	30.3651	1.0962	0.93811	0.203788	-0.254137	0.203788	1.68487	2.43036	33.5185	0.805851	-0.200661	0.153888	-0.0138247	0.153888	-2.51064	2.33912	34.6527	1.09234	0.406696	0.14717	-0.895059	0.14717	48.5698	7.2371	34.5987	1.22503	-0.542617	0.15301	-0.474108	0.15301	1.98694	2.39596	33.8811	1.24017	0.430867	0.172077	0.230527	0.172077	-1.18627	2.63045	33.824	1.16074	-0.220976	0.182497	-0.210538	0.182497	4.05298	3.3288	1.5314	2.26683	1.28775	1.44758	6.25493	6.82781	3.75768	158.133	10.8771	16.9112	-126.238	0.559651	1	3.4893	2.51751	-62.4443	0.189191	0.739173
856	375	208.277	5.14974	6240	0	0.0788474	1.69532e-05	0	331.631	7.89657	34.5546	0.0250102	0	0	500	-0	500	-0	300	-0	300	-0	24.331	2.14889	1.25231	0.397281	-0.525503	0.397281	0.0215558	0.695143	-65.5678	32.3023	-5.32691	8.39143	-1.13535	9.71187	13.877	11.3624	72.4384	1.92188	1.38456	0.130982	-0.260782	0.130982	69.1238	1.62631	0.762523	0.135686	-0.270722	0.135686	30.359	11.3817	76.8628	0.972591	0.0264292	0.120969	0.13175	0.120969	-4.72016	12.7647	79.8592	1.23231	1.00661	0.121348	-0.268389	0.121348	14.92	16.4692	79.6967	1.19301	0.0472715	0.12041	-0.19337	0.12041	21.5743	15.4046	77.213	1.13266	0.104426	0.135063	-0.0664309	0.135063	-4.84017	19.6457	77.0672	1.1262	0.145547	0.130734	0.110489	0.130734	-8.5116	19.8974	1.38456	1.84188	1.00661	1.15176	6.33945	5.2043	4.70383	500	0.518101	50.782	300	0.959609	500	30.359	10.4714	300	0.576065	0.763618
577	574	159.778	5.20977	96	0	0.0677152	3.71479e-05	0	297.368	15.6765	16.3634	0.0253437	0	0	500	-0	104.538	36.3978	300	-0	59.6471	31.6824	15.4247	3.79409	2.26578	1.10476	0.110987	1.10476	1.18158	0.997741	-4.87889	10.6374	1.07575	7.88219	-14.4001	16.4188	1.94536	17.3517	48.5837	1.88458	1.81218	0.296583	-0.0654017	0.296583	47.0336	2.64035	0.149813	0.301592	-0.716931	0.301592	11.9085	8.42285	53.1392	1.56485	-0.0243223	0.237149	0.111116	0.237149	-3.20757	8.46415	55.4045	1.66311	0.975336	0.23172	-0.344834	0.23172	19.1867	18.9178	55.2029	1.58751	-0.0821893	0.239779	-0.258841	0.239779	9.2005	9.05943	53.3162	1.73035	0.628265	0.236402	0.435651	0.236402	-25.9925	9.15177	53.1571	1.67388	0.0230829	0.247437	0.00291085	0.247437	-5.48548	9.01832	1.81218	1.99076	0.975336	1.25651	4.95683	4.45881	4.00197	500	-16.7885	83.0134	300	0.455073	183.087	23.1798	12.0378	300	0.270596	0.770945
518	563	184.421	3.65581	6240	0	0.076768	1.6522e-05	0	227.793	7.8844	26.4472	0.0165214	0	0	500	-0	273.911	54.7307	300	-0	147.197	54.2936	8.99638	1.25907	1.7882	0.617082	-0.287612	0.617082	4.07648	0.809849	18.6038	9.66026	-10.9609	3.85251	-0.0649821	5.38917	14.7862	5.77003	27.8195	0.910649	1.44377	0.173109	-0.342139	0.173109	26.828	0.936676	0.435857	0.180523	-0.70027	0.180523	17.3596	4.70563	31.2042	0.715081	-0.201824	0.141104	-0.0170581	0.141104	0.979126	4.4855	32.4237	0.847079	0.968271	0.140272	-0.371147	0.140272	12.9655	7.57952	32.3871	0.782465	-0.525069	0.147335	-0.577426	0.147335	20.1528	5.91903	31.5859	0.849789	0.210989	0.155986	0.00175435	0.155986	5.38125	6.28018	31.5526	0.878644	0.553203	0.164521	0.519738	0.164521	-6.15907	6.44244	1.44377	2.07061	1.05653	1.41411	6.64621	6.28881	5.16274	166.604	2.00596	10.5125	100.779	0.533858	242.533	17.5315	5.05281	-16.9532	0.806884	0.763401
522	239	191.304	1.8048	96	0	0.047568	1.49228e-05	0	227.679	6.35456	30.5432	0.0228622	0	0	500	-0	256.897	52.3292	137.218	58.288	0.0013867	-0	18.1492	2.96768	0.976079	0.650284	-1.03185	0.650284	0.19491	0.83452	5.34342	17.42	-15.8765	7.31197	31.2024	8.6886	51.6194	9.06503	48.7441	1.45332	1.28889	0.155497	-0.804509	0.155497	46.3682	1.23739	0.566427	0.15998	-0.528664	0.15998	24.4242	6.98166	50.9645	1.17091	-0.047088	0.138974	0.169124	0.138974	-5.20775	7.06744	52.9634	1.44904	0.568863	0.141396	-0.879687	0.141396	66.9476	12.149	52.7301	1.59692	-0.916095	0.145041	-0.972855	0.145041	39.2365	9.64217	51.4948	1.01223	0.158388	0.13747	-0.0866258	0.13747	0.933275	7.44293	51.3935	0.995462	-0.235111	0.141376	-0.259239	0.141376	13.8118	7.80224	2.0884	2.21147	1.42694	1.44445	6.02814	6.34878	4.46071	213.522	13.9988	33.1017	244.387	0.72752	294.819	26.1666	8.61857	0.00231117	0.406412	0.764814
840	337	177.472	5.70079	96	0	0.0743113	1.4322e-05	0	256.473	6.67642	32.9016	0.0141584	0	0	337.469	72.1316	271.964	40.3699	69.5934	68.3236	82.9818	42.6085	17.4194	1.70665	1.00173	0.393888	-1.50863	0.393888	0.056127	0.517884	-10.1285	12.2588	-1.49477	4.72804	10.0296	5.82759	34.3794	7.57108	48.8793	1.36108	1.32651	0.137997	-0.692395	0.137997	46.8878	1.32616	0.533567	0.145058	-0.467187	0.145058	19.1437	6.30323	52.5142	0.852859	0.00460569	0.12265	0.176117	0.12265	-9.21783	6.57387	54.7431	1.41874	0.780159	0.121652	-0.566932	0.121652	31.5078	9.16617	54.568	1.37758	-0.920076	0.129456	-0.945765	0.129456	54.8036	8.68672	53.3537	1.25217	-0.123853	0.133406	-0.321476	0.133406	13.7954	7.76581	53.2389	1.221	-0.320376	0.139535	-0.320416	0.139535	18.122	8.01227	1.9722	2.13564	1.3694	1.40243	6.67793	5.59643	4.01354	130.751	21.8559	20.3303	-214.991	1.2505	478.256	30.2717	9.8178	300	0.381837	0.737029
337	329	192.011	-1.65284	96	0	0.0880014	2.01884e-05	0	264.501	8.81559	25.199	0.028686	0	0	292.259	54.0544	229.492	35.5053	-42.5146	50.0862	-100.873	37.0671	12.1963	2.0125	0.951838	0.602728	-1.65607	0.602728	1.92279	0.736498	28.9682	10.468	-10.212	4.45841	-1.53705	5.23289	18.6744	6.19586	35.7184	1.49873	1.46185	0.180879	-0.549142	0.180879	34.2695	1.59474	0.319953	0.189819	-0.864813	0.189819	25.5532	5.75363	39.1637	0.593764	-0.0245024	0.147812	0.0132529	0.147812	2.09799	5.31447	40.2546	1.46474	0.175886	0.143702	-0.981135	0.143702	41.9481	7.75311	40.1947	1.47136	-0.960856	0.149733	-0.858274	0.149733	36.9289	6.73154	39.677	1.00928	0.0761186	0.163401	-0.15098	0.163401	8.19622	6.33218	39.5983	0.910125	-0.161477	0.170125	-0.194305	0.170125	3.40966	6.56689	1.96398	2.05852	1.1582	1.34373	5.78345	4.66607	4.16696	289.623	16.5595	25.5965	-300	0.935228	313.889	31.9918	7.72148	1.52003	1.1657	0.713058
311	306	227.107	-0.266291	96	0	0.0903211	1.66974e-05	0	243.604	7.03258	31.1928	0.0583149	0	0	101.631	29.7965	500	-0	27.239	25.4218	300	-0	15.7082	2.28791	1.11861	0.523825	-0.367262	0.523825	1.62678	0.92992	-15.7225	27.8677	3.06391	6.8637	5.75692	3.44077	7.99782	3.67271	42.2544	1.20039	1.54201	0.1443	-0.291342	0.1443	41.2081	1.17536	0.726079	0.157313	-0.266073	0.157313	14.621	7.92471	44.5766	0.876975	-0.228805	0.141606	-0.110766	0.141606	10.9043	8.15238	46.3344	0.947587	1.0464	0.116559	-0.483479	0.116559	18.4552	4.27667	46.1803	1.01218	-0.0057165	0.125263	-0.0946082	0.125263	19.0566	7.77209	44.9034	1.5515	0.270706	0.156703	0.13393	0.156703	-0.41193	12.2199	44.8288	1.49608	-0.204595	0.160259	-0.174564	0.160259	5.59146	12.1287	1.54201	2.04326	1.44465	1.53289	7.87459	5.43215	3.85641	287.45	6.74213	35.1862	6.6984	1.22038	383.298	13.8727	8.37006	300	0.687915	0.755173
587	268	220.178	3.46542	6752	0	0.0273424	7.98789e-06	0	257.156	3.49509	62.5052	0.033187	0	0	500	-0	65.0483	9.15627	181.375	39.6236	4.6961	6.6262	32.3992	2.81345	1.67818	0.307262	-0.0196591	0.307262	0.0105306	0.265109	13.459	5.76392	6.62404	3.6867	21.2296	7.35304	60.0913	8.1632	89.8422	1.53762	1.50188	0.0762331	-0.579619	0.0762331	85.3292	1.3834	0.741148	0.0787845	-0.387804	0.0787845	22.1258	3.68737	95.5913	0.943857	-0.0710325	0.0722702	0.0532191	0.0722702	0.46935	4.04432	100.367	2.40526	0.683173	0.0690848	-0.765705	0.0690848	118.185	10.1348	99.9684	1.71113	-0.840294	0.0738916	-0.967466	0.0738916	66.4697	5.20194	97.4746	1.59842	0.0195966	0.0739549	-0.2103	0.0739549	20.1136	4.40937	97.3328	1.11139	-0.206179	0.0748563	-0.24701	0.0748563	34.3044	4.65111	1.99775	2.10679	1.39999	1.37578	6.57977	5.94236	4.09371	228.661	8.01635	26.8608	300	0.958656	164.322	32.2269	5.96917	-6.06365	0.403938	0.733705
838	459	175.299	5.73474	6240	0	0.0974264	2.50203e-05	0	272.315	10.7561	22.1827	0.0268211	0	0	500	-0	303.94	57.055	300	-0	152.409	56.6181	9.835	1.81172	0.98027	0.726896	-1.13437	0.726896	-0.925159	0.992617	-16.9825	14.5712	2.04201	4.92928	-12.0626	6.13117	21.8363	7.02859	27.9637	1.3363	1.07264	0.210323	-0.690479	0.210323	27.4631	1.25011	0.582144	0.213665	-0.557061	0.213665	17.3531	5.8606	30.8868	0.844821	-0.330171	0.168079	-0.214663	0.168079	8.44564	5.66383	31.7976	1.42657	0.228899	0.191074	-0.976039	0.191074	50.9461	10.6862	31.7667	1.47271	-1.66773	0.174803	-1.60871	0.174803	38.2193	8.53147	31.1354	1.01878	-0.15751	0.182185	-0.332784	0.182185	7.3045	6.56387	31.1563	0.996265	-0.218893	0.175159	-0.279769	0.175159	8.66425	6.55614	1.61132	2.10058	1.31233	1.35185	5.18166	6.42202	4.08218	320.869	11.7365	31.1094	298.297	1.02616	500	23.1191	7.19893	300	1.09847	0.740072
