AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
-11.1717	-5.06478	0	-11.1786	-11.05	-11.6009	-12.0386	-10.7923	-10.4543
-12.4406	-5.84896	0	-12.4351	-12.4	-13.1667	-13.995	-11.7864	-11.1289
-12.4256	-5.92964	0	-12.4101	-12.75	-13.2023	-14.0885	-11.7098	-11.087
-12.157	-6.00497	0	-12.1056	-12.3	-12.9955	-13.9267	-11.388	-10.8065
-11.7995	-5.22543	0	-11.827	-11.75	-12.2809	-12.6946	-11.3794	-10.8929
-12.1798	-5.99527	0	-12.1298	-11.85	-12.9881	-13.995	-11.449	-10.7559
-12.3308	-5.89303	0	-12.2847	-12.2	-13.0726	-14.0433	-11.6622	-11.0579
-11.634	-5.8524	0	-11.5208	-11.35	-12.4046	-13.5214	-10.9855	-10.4909
-12.4507	-6.05623	0	-12.4587	-12.4	-13.2961	-14.11	-11.6892	-10.8136
-12.063	-6.10983	0	-12.0336	-11.95	-12.9615	-13.8969	-11.2313	-10.5633
-12.3962	-6.09853	0	-12.3996	-12.55	-13.2704	-14.175	-11.5947	-10.785
-12.2986	-5.96359	0	-12.255	-12.05	-13.1043	-14.0025	-11.5698	-10.9786
-12.0876	-5.91655	0	-12.0213	-11.9	-12.8574	-13.8676	-11.3704	-10.8558
-11.3577	-4.97837	0	-11.3784	-11.35	-11.7606	-12.1667	-10.9942	-10.6707
-12.3909	-5.86427	0	-12.3703	-12.4	-13.1094	-13.9667	-11.7113	-11.15
-12.0157	-5.86283	0	-11.9521	-11.75	-12.7684	-13.68	-11.3352	-10.827
-12.2545	-5.82481	0	-12.1992	-11.95	-13	-13.8816	-11.5995	-11.1069
-12.2496	-6.12346	0	-12.1951	-11.8	-13.2141	-14.1348	-11.4158	-10.6783
-12.2759	-5.95936	0	-12.2586	-12.25	-13.0564	-13.9538	-11.567	-10.85
-12.4696	-6.01508	0	-12.447	-12.3	-13.3007	-14.1679	-11.7247	-11.02
-11.9887	-5.90901	0	-11.9292	-11.9	-12.7368	-13.7563	-11.2918	-10.7357
-12.0698	-5.86725	0	-11.9953	-11.6	-12.8308	-13.7318	-11.3941	-10.8909
-12.1399	-5.87461	0	-12.0794	-11.65	-12.9159	-13.8429	-11.4741	-10.9225
-11.9788	-5.94651	0	-11.9035	-11.75	-12.8009	-13.8075	-11.2415	-10.7586
-11.7336	-5.85896	0	-11.6466	-11.4	-12.4883	-13.535	-11.0722	-10.5387
-11.1506	-4.97169	0	-11.1603	-11.05	-11.5552	-11.9762	-10.7943	-10.4745
-12.2936	-5.85405	0	-12.2458	-12	-13.0233	-13.9618	-11.6368	-11.0646
-12.3173	-5.8852	0	-12.2636	-12.1	-13.0979	-13.9808	-11.6352	-11.0545
-11.6609	-5.18592	0	-11.6803	-11.75	-12.1274	-12.5707	-11.2511	-10.8375
-12.5631	-5.91885	0	-12.5401	-12.3	-13.3331	-14.196	-11.8513	-11.2029
-12.1669	-5.88585	0	-12.1123	-11.9	-12.8788	-13.95	-11.4881	-10.9146
-11.6393	-5.92146	0	-11.5366	-11.3	-12.4694	-13.4375	-10.9465	-10.4179
-12.102	-5.8485	0	-12.0419	-11.85	-12.8246	-13.8529	-11.4263	-10.9086
-12.4149	-5.90558	0	-12.3807	-11.95	-13.2183	-14.0382	-11.7298	-11.1327
-12.0943	-5.86633	0	-12.0435	-11.7	-12.8448	-13.83	-11.4099	-10.902
-10.5394	-5.03659	0	-10.5392	-10.4	-10.9445	-11.4515	-10.1904	-9.80375
-12.1812	-5.95167	0	-12.1372	-11.95	-12.9862	-13.8971	-11.4585	-10.8977
-12.165	-5.92183	0	-12.1115	-11.95	-12.9387	-13.8725	-11.461	-10.8823
-12.3449	-5.87103	0	-12.2947	-12.05	-13.1077	-14	-11.6764	-11.1109
-9.99436	-4.30884	0	-10.057	-10.1	-10.2502	-10.4271	-9.79105	-9.40732
-12.246	-5.81492	0	-12.1848	-12	-12.9596	-13.9222	-11.6009	-11.0667
-12.2857	-5.91418	0	-12.2455	-12.25	-13.0642	-13.9694	-11.563	-11.0121
-11.915	-5.86561	0	-11.8479	-11.6	-12.6401	-13.7571	-11.2586	-10.6875
-12.4574	-6.00505	0	-12.4343	-12.35	-13.2632	-14.1824	-11.7283	-10.9812
-12.323	-5.97738	0	-12.3122	-12.1	-13.0971	-14.0364	-11.6199	-10.8357
-11.9654	-5.93764	0	-11.8982	-11.55	-12.7368	-13.7538	-11.2707	-10.6625
-12.0524	-5.87972	0	-11.9792	-11.7	-12.8333	-13.7208	-11.3487	-10.8817
-12.2947	-5.86661	0	-12.2562	-12.1	-13.0327	-13.925	-11.6145	-11.0667
-12.3251	-5.87245	0	-12.2944	-12.2	-13.0645	-13.99	-11.655	-11.0625
-12.0751	-5.88505	0	-12.0028	-11.7	-12.85	-13.8208	-11.389	-10.86
-11.5403	-4.99785	0	-11.5625	-11.5	-11.9548	-12.3333	-11.1611	-10.8406
-12.3128	-5.88197	0	-12.2734	-12.2	-13.0462	-13.9143	-11.6556	-10.975
-11.6188	-5.04093	0	-11.6324	-11.5	-12.0434	-12.4661	-11.2531	-10.8981
-11.9314	-5.86108	0	-11.8303	-11.7	-12.6826	-13.7395	-11.2647	-10.7812
-12.2017	-6.04563	0	-12.1821	-12.35	-13.0172	-14.0542	-11.4372	-10.6719
-12.088	-5.90394	0	-12.0432	-11.8	-12.8368	-13.7929	-11.3847	-10.8608
-12.1569	-6.05668	0	-12.0789	-11.85	-13.0894	-13.9435	-11.3527	-10.7409
-12.4589	-5.93089	0	-12.4426	-12.3	-13.2137	-14.0806	-11.791	-11.0375
-12.1681	-5.88652	0	-12.1187	-11.85	-12.9173	-13.8947	-11.4775	-10.9289
-12.4947	-5.93125	0	-12.4709	-12.35	-13.2632	-14.1471	-11.7933	-11.1187
-12.2792	-5.93472	0	-12.2381	-12.2	-13.0737	-13.9917	-11.5594	-11.018
-12.1264	-5.91096	0	-12.1039	-11.9	-12.8844	-13.7692	-11.4038	-10.8288
-12.1069	-6.05773	0	-12.1228	-12.1	-12.925	-13.7933	-11.3243	-10.5437
-12.2983	-6.00924	0	-12.3004	-12.1	-13.1101	-13.9575	-11.5408	-10.8075
-11.3714	-4.90628	0	-11.3934	-11.35	-11.7497	-12.1176	-11.0237	-10.6816
-12.1924	-5.88801	0	-12.1277	-12	-12.9617	-13.8821	-11.5054	-10.9521
-12.2553	-5.92586	0	-12.2283	-12.05	-13.0336	-13.9025	-11.5634	-10.9062
-12.1116	-5.97774	0	-12.0876	-12.2	-12.8806	-13.8857	-11.3882	-10.7283
-12.3626	-5.93905	0	-12.3169	-11.95	-13.1392	-14.0421	-11.6851	-10.9571
-12.3038	-5.91046	0	-12.2736	-12.2	-13.0688	-13.9235	-11.593	-10.9775
-12.1905	-5.90459	0	-12.135	-12	-12.9535	-13.9429	-11.484	-10.9538
-12.2452	-5.94545	0	-12.2077	-12.05	-13.0183	-14.0375	-11.5159	-10.9575
-12.3396	-5.88475	0	-12.2949	-12.2	-13.0743	-14.0033	-11.6763	-11.0455
-12.0115	-5.8354	0	-11.9331	-11.8	-12.76	-13.7769	-11.3319	-10.8962
-12.0546	-5.91204	0	-11.9786	-11.85	-12.8382	-13.8188	-11.3647	-10.7881
-12.4199	-6.00011	0	-12.3824	-12.1	-13.2475	-14.1368	-11.675	-11.0083
-12.0655	-5.9246	0	-12.0034	-11.75	-12.8698	-13.8107	-11.361	-10.7979
-12.263	-5.96325	0	-12.2205	-12.1	-13.059	-13.97	-11.5368	-10.9417
-10.6979	-4.81994	0	-10.7232	-10.7	-11.0564	-11.4097	-10.3852	-10.0391
-12.183	-5.76975	0	-12.1278	-11.9	-12.8705	-13.7969	-11.5328	-11.0855
-12.4029	-5.90741	0	-12.371	-11.95	-13.168	-14.0528	-11.7309	-11.1083
-12.3215	-5.9054	0	-12.2739	-12.15	-13.1039	-13.9875	-11.6155	-11
-12.1122	-5.91969	0	-12.0651	-12.1	-12.9007	-13.8579	-11.4022	-10.8396
-12.1507	-5.84737	0	-12.0905	-11.7	-12.923	-13.8176	-11.4848	-10.9537
-11.6469	-5.08361	0	-11.6524	-11.65	-12.0844	-12.5312	-11.2706	-10.8905
-12.0897	-5.84951	0	-12.0402	-11.85	-12.8333	-13.7333	-11.4172	-10.8848
-11.7517	-5.97072	0	-11.7008	-11.3	-12.554	-13.5206	-11.0414	-10.4167
-11.989	-5.89	0	-11.9008	-11.7	-12.7385	-13.8375	-11.2868	-10.81
-12.1686	-5.93199	0	-12.1101	-11.9	-12.9727	-13.881	-11.462	-10.8442
-12.3547	-5.93038	0	-12.3357	-12.2	-13.1221	-13.9833	-11.6521	-11.0043
-11.4766	-5.0954	0	-11.4849	-11.55	-11.9085	-12.3937	-11.0885	-10.7545
-12.1849	-5.90456	0	-12.1273	-12	-12.9523	-13.8722	-11.4944	-10.9205
-12.0008	-5.89496	0	-11.9422	-11.75	-12.7194	-13.74	-11.3222	-10.7333
-12.1314	-5.94042	0	-12.0619	-11.7	-12.9293	-13.9625	-11.4257	-10.8842
-10.1319	-4.10139	0	-10.1745	-10.15	-10.365	-10.5245	-9.95514	-9.68333
-12.168	-5.87043	0	-12.1139	-11.8	-12.9	-13.9067	-11.491	-10.9717
-12.1318	-5.85886	0	-12.0685	-11.9	-12.8868	-13.7471	-11.4733	-10.9048
-12.2418	-5.90228	0	-12.2038	-12.1	-12.9861	-13.8917	-11.5565	-10.9484
-12.1591	-5.90695	0	-12.1003	-12.05	-12.9132	-13.9176	-11.4707	-10.8833
-12.0668	-5.9177	0	-11.9954	-11.55	-12.846	-13.8844	-11.3429	-10.8683
-12.2093	-5.91075	0	-12.1606	-11.8	-12.9886	-13.8893	-11.5348	-10.9
-11.6137	-4.98424	0	-11.6313	-11.55	-12.0242	-12.4065	-11.2542	-10.9062
-12.1611	-5.86683	0	-12.0974	-12	-12.8894	-13.9083	-11.4886	-10.9705
-12.3064	-5.84242	0	-12.2425	-12.25	-13.1	-13.9286	-11.6295	-11.1294
-11.9762	-5.9602	0	-11.9045	-11.85	-12.8007	-13.7289	-11.2551	-10.6972
-12.1281	-5.81777	0	-12.0787	-11.75	-12.8494	-13.775	-11.4714	-10.9543
-11.2432	-5.79914	0	-11.1655	-11.1	-11.9246	-13.0538	-10.6194	-10.0762
-12.2873	-5.88506	0	-12.2312	-12.1	-13.0478	-13.9633	-11.6147	-11.0464
-12.3565	-5.91926	0	-12.329	-12.15	-13.1217	-13.9867	-11.6563	-11.0269
-11.8861	-5.97406	0	-11.8178	-11.6	-12.6669	-13.7909	-11.1598	-10.5532
-11.792	-5.9402	0	-11.7211	-11.3	-12.5766	-13.6132	-11.0936	-10.4969
-12.1867	-5.84891	0	-12.1255	-11.85	-12.9278	-13.94	-11.5132	-10.9894
-11.5161	-5.10591	0	-11.5347	-11.7	-11.9577	-12.3867	-11.1382	-10.7029
-12.1349	-5.88024	0	-12.1015	-12.1	-12.9008	-13.8132	-11.4417	-10.9
-12.2784	-5.80558	0	-12.2438	-12.25	-12.9925	-13.8556	-11.6401	-11.0974
-12.5238	-5.81455	0	-12.4901	-12.1	-13.2602	-14.088	-11.8825	-11.3042
-12.1547	-5.92306	0	-12.0919	-11.65	-12.936	-13.8778	-11.4413	-10.8946
-11.6158	-5.12212	0	-11.6366	-11.5	-12.0485	-12.486	-11.2232	-10.83
-11.9789	-5.83443	0	-11.9105	-11.7	-12.7169	-13.6286	-11.3348	-10.7882
-11.5853	-5.95601	0	-11.4734	-11.1	-12.3944	-13.5917	-10.8756	-10.3239
-12.5937	-5.98249	0	-12.5919	-12.55	-13.3778	-14.2781	-11.8859	-11.0267
-12.2396	-6.01234	0	-12.2059	-11.9	-13.0896	-13.9389	-11.472	-10.8646
-12.4575	-5.98736	0	-12.4531	-12.15	-13.233	-14.1775	-11.7265	-11.0048
-11.3351	-5.75614	0	-11.2551	-11.2	-11.9873	-13.1357	-10.7254	-10.2482
-11.9474	-5.89578	0	-11.8647	-11.8	-12.7052	-13.725	-11.275	-10.6977
-12.0205	-5.89746	0	-11.9525	-11.85	-12.7913	-13.7867	-11.3273	-10.8083
-12.3519	-5.86268	0	-12.3151	-12.1	-13.0856	-13.9833	-11.6844	-11.094
-11.9701	-5.85827	0	-11.8922	-11.5	-12.7075	-13.775	-11.2956	-10.81
-12.1968	-5.89665	0	-12.164	-12.25	-12.9307	-13.9571	-11.5035	-10.9224
-12.0057	-5.84784	0	-11.9264	-11.65	-12.7551	-13.7238	-11.3431	-10.8333
-12.1942	-5.88604	0	-12.1336	-11.85	-12.9757	-13.8667	-11.5029	-10.9576
-11.2396	-4.89171	0	-11.2677	-11.25	-11.6262	-11.9915	-10.8935	-10.5769
-11.9813	-5.91122	0	-11.9209	-11.9	-12.7722	-13.7571	-11.2795	-10.7242
-12.1198	-5.98135	0	-12.0732	-12	-12.9492	-13.9206	-11.3833	-10.7974
-11.9458	-5.81162	0	-11.8997	-11.65	-12.6358	-13.6025	-11.3151	-10.7444
-11.2166	-4.91046	0	-11.2319	-11.25	-11.605	-11.9786	-10.8764	-10.5574
-12.3795	-5.83094	0	-12.3215	-12.15	-13.1182	-14.0382	-11.7142	-11.219
-12.4809	-5.93491	0	-12.4652	-12.4	-13.2451	-14.0977	-11.773	-11.0437
-12.0036	-5.87922	0	-11.9315	-11.5	-12.7654	-13.7053	-11.3299	-10.7826
-11.9811	-5.82434	0	-11.9174	-11.75	-12.6897	-13.7063	-11.3399	-10.8052
-12.257	-5.88703	0	-12.1965	-12	-13.018	-13.9895	-11.5698	-11.0512
-12.1211	-5.95615	0	-12.082	-11.9	-12.92	-13.83	-11.3924	-10.7933
-12.0982	-5.86792	0	-12.0377	-12.15	-12.8379	-13.8571	-11.4163	-10.8964
-12.4966	-5.98795	0	-12.4922	-12.5	-13.2992	-14.1789	-11.7714	-11.0433
-12.5548	-6.04224	0	-12.5731	-12.6	-13.3601	-14.2704	-11.8079	-10.9475
-12.1119	-5.95328	0	-12.0642	-11.65	-12.9113	-13.835	-11.3962	-10.7526
-11.6957	-5.35318	0	-11.7528	-11.8	-12.2133	-12.6235	-11.2339	-10.6409
-11.6441	-5.06412	0	-11.6543	-11.5	-12.0757	-12.5	-11.2635	-10.9244
-12.5469	-6.07127	0	-12.5091	-12.15	-13.4458	-14.2944	-11.7184	-11.0938
-12.2462	-6.02472	0	-12.2136	-12.3	-13.0911	-14.0294	-11.4989	-10.8417
-12.4664	-5.93168	0	-12.4472	-12.5	-13.2321	-14.1315	-11.7767	-11.0944
-12.0267	-5.96852	0	-11.9784	-12.05	-12.8688	-13.7974	-11.2682	-10.7534
-12.414	-5.92234	0	-12.3984	-12.45	-13.1816	-14.1119	-11.7006	-11.0775
-12.2776	-5.94213	0	-12.2325	-11.9	-13.0402	-14.0107	-11.5837	-10.95
-12.4515	-5.81896	0	-12.3974	-12.3	-13.1953	-14.0188	-11.8012	-11.2817
-13.233	-6.51557	0	-13.1977	-12.95	-14.4709	-15.5431	-12.1556	-11.0877
-12.113	-5.93397	0	-12.0647	-11.85	-12.9032	-13.8467	-11.4146	-10.82
-12.6519	-6.58429	0	-12.6054	-12.6	-13.9302	-15.1136	-11.5093	-10.4708
-12.5946	-5.91811	0	-12.5657	-12.45	-13.3514	-14.2391	-11.9195	-11.21
-12.4056	-6.19526	0	-12.4258	-12.55	-13.3246	-14.3114	-11.5439	-10.6562
-12.201	-5.97254	0	-12.1658	-12.05	-12.9733	-14.0227	-11.5073	-10.802
-12.3104	-5.84233	0	-12.2457	-12	-13.0618	-13.9342	-11.6455	-11.1047
-12.4831	-6.14123	0	-12.5045	-12.55	-13.38	-14.3111	-11.6392	-10.8583
-12.4155	-5.92983	0	-12.3977	-12.2	-13.19	-14.08	-11.7063	-11.062
-12.3289	-5.97506	0	-12.3255	-12.3	-13.0948	-14.0063	-11.6108	-10.8719
-11.9675	-5.98831	0	-11.8917	-11.6	-12.83	-13.7333	-11.2114	-10.6815
-12.0209	-5.98309	0	-11.9806	-11.8	-12.8329	-13.7632	-11.2798	-10.7
-12.1476	-5.97191	0	-12.0828	-11.55	-12.9664	-13.9278	-11.3815	-10.8933
-12.4239	-5.90089	0	-12.37	-12.1	-13.1801	-14.119	-11.7338	-11.201
-12.1605	-5.85766	0	-12.1121	-11.95	-12.9153	-13.8088	-11.5069	-10.922
-11.5356	-5.02105	0	-11.5464	-11.5	-11.9439	-12.3981	-11.1674	-10.825
-11.8593	-5.92459	0	-11.761	-11.35	-12.657	-13.7286	-11.155	-10.675
-12.1728	-5.93072	0	-12.136	-12.25	-12.9558	-13.8528	-11.4594	-10.8976
-12.1161	-5.97998	0	-12.0697	-11.7	-12.9363	-13.8536	-11.3934	-10.763
-12.0512	-5.87057	0	-11.9832	-11.8	-12.8	-13.7875	-11.3588	-10.876
-12.2928	-5.91163	0	-12.2563	-12	-13.0843	-13.9375	-11.604	-10.95
-10.5168	-4.55118	0	-10.5506	-10.6	-10.8235	-11.0823	-10.2647	-9.95778
