MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
11.2784	11.1859	11.3644	11.1106	11.4498	11.2967	11.2886
11.7679	11.6717	11.8457	11.5906	11.9313	11.81	11.7746
11.3597	11.2589	11.4346	11.1788	11.5191	11.39	11.3642
11.5508	11.4609	11.6361	11.3906	11.7295	11.6	11.563
11.4866	11.3954	11.5673	11.3191	11.6487	11.53	11.4959
11.3144	11.2157	11.4184	11.14	11.5351	11.2967	11.3311
11.4432	11.3523	11.5273	11.2777	11.61	11.5067	11.4534
11.5651	11.4736	11.6566	11.3981	11.7467	11.5767	11.5777
11.4535	11.3685	11.5335	11.2975	11.6581	11.4833	11.4667
11.6292	11.5264	11.7438	11.4548	11.8744	11.6467	11.6476
11.7104	11.6053	11.7984	11.5211	11.9012	11.74	11.7182
11.7143	11.6196	11.8025	11.5538	11.8828	11.74	11.7251
11.3051	11.2161	11.3914	11.1435	11.4692	11.32	11.3165
11.2525	11.1598	11.3406	11.0909	11.4307	11.2733	11.2642
11.487	11.3902	11.5658	11.3117	11.6563	11.5067	11.4944
11.3695	11.2794	11.4584	11.2065	11.5444	11.39	11.3818
11.3276	11.2394	11.4103	11.1635	11.4819	11.39	11.3376
11.2609	11.166	11.3684	11.0922	11.4111	11.2733	11.2713
11.7947	11.6999	11.8868	11.6255	11.9829	11.7867	11.807
11.5663	11.4695	11.6567	11.3963	11.754	11.6233	11.5776
11.0238	10.9305	11.109	10.8591	11.2013	11.0633	11.0347
11.6355	11.5443	11.7209	11.4755	11.7998	11.67	11.6464
11.1407	11.0466	11.2194	10.9778	11.2946	11.18	11.1488
11.4391	11.3495	11.5226	11.276	11.6051	11.4833	11.4494
11.0987	11.0054	11.1883	10.9321	11.2773	11.11	11.1105
11.4207	11.33	11.5124	11.2563	11.6062	11.4367	11.4341
11.3089	11.2205	11.388	11.1446	11.4548	11.32	11.3175
11.2835	11.1915	11.3656	11.1186	11.4387	11.2967	11.2928
11.6641	11.573	11.7491	11.5055	11.826	11.6933	11.6745
11.8241	11.7238	11.9061	11.6477	11.9918	11.88	11.8304
11.2138	11.1203	11.3041	11.0505	11.3901	11.2267	11.226
11.058	10.9627	11.1492	10.8874	11.2391	11.0633	11.0695
11.1399	11.0483	11.2211	10.9709	11.2935	11.1567	11.1484
11.5707	11.4805	11.6484	11.403	11.7201	11.6233	11.5784
11.2942	11.1981	11.3812	11.1342	11.4733	11.32	11.3051
10.7868	10.6914	10.8804	10.5954	10.9714	10.8067	10.7974
11.2592	11.1651	11.3546	11.0898	11.4544	11.25	11.2731
11.2211	11.1334	11.3056	11.0608	11.3798	11.25	11.2317
11.516	11.4258	11.598	11.3566	11.6959	11.5533	11.5281
10.8057	10.7055	10.9102	10.6345	11.0236	10.8533	10.8203
11.2404	11.1512	11.3193	11.0796	11.4032	11.2733	11.2508
11.3616	11.2672	11.4438	11.2002	11.5206	11.39	11.3705
10.7481	10.6558	10.8353	10.5829	10.9318	10.7833	10.7601
11.4103	11.3302	11.4923	11.2627	11.5927	11.4133	11.4249
11.5648	11.477	11.6586	11.3997	11.7844	11.5767	11.5816
11.0948	11.0011	11.1943	10.9235	11.2966	11.0867	11.1101
11.5397	11.4518	11.6212	11.375	11.6959	11.53	11.5499
11.3667	11.2778	11.4483	11.2068	11.5288	11.4133	11.3773
11.5556	11.4601	11.6373	11.379	11.7306	11.6	11.5641
11.4422	11.3539	11.5298	11.2822	11.6148	11.46	11.4547
11.3449	11.2515	11.4205	11.1793	11.4853	11.3667	11.3508
11.4526	11.3593	11.5407	11.2857	11.6314	11.5067	11.4634
11.5548	11.4586	11.6384	11.3865	11.7256	11.6	11.5635
11.3687	11.2762	11.4528	11.2064	11.5366	11.39	11.3786
11.5151	11.4137	11.6117	11.3243	11.7436	11.53	11.5298
11.4425	11.3524	11.532	11.277	11.6277	11.4367	11.4556
11.3947	11.2918	11.4945	11.2099	11.5642	11.4133	11.4028
11.7325	11.6341	11.8093	11.5464	11.9073	11.7633	11.7402
11.0491	10.9601	11.1329	10.8873	11.2077	11.0633	11.0596
11.661	11.573	11.7394	11.501	11.8453	11.67	11.6726
11.6056	11.5149	11.6922	11.4413	11.7783	11.6233	11.6171
11.2299	11.1382	11.3125	11.0652	11.3913	11.2733	11.2388
11.9807	11.8037	12.1541	11.6545	12.2967	12.02	11.9886
11.3165	11.2187	11.3999	11.1386	11.4967	11.3667	11.3248
