AVG	ENTROPY	FLAG	MEDIAN	MODE	P16	P2P5	P84	P97P5
0.1496	-5.02067	0	0.148684	0.25	-0.277817	-0.701515	0.514489	0.843182
-0.64406	-5.85971	0	-0.629478	-0.55	-1.37722	-2.225	0.0102041	0.666667
-1.02391	-5.91052	0	-1.00082	-1.15	-1.78205	-2.67895	-0.323585	0.268421
-0.5511	-6.00572	0	-0.500388	-0.45	-1.37955	-2.30909	0.22732	0.81
-0.26908	-5.19748	0	-0.299138	-0.25	-0.741724	-1.15333	0.134328	0.622059
-0.81163	-5.9926	0	-0.773179	-0.75	-1.60086	-2.595	-0.0827777	0.595652
-0.81571	-5.87765	0	-0.7808	-0.5	-1.55366	-2.47727	-0.154245	0.445653
-0.0295599	-5.85488	0	0.0862416	0.4	-0.798182	-1.915	0.628632	1.11818
-0.96467	-6.05785	0	-0.969667	-0.95	-1.80676	-2.66944	-0.191111	0.622728
-0.38324	-6.08063	0	-0.35051	-0.15	-1.26797	-2.19091	0.420349	1.1
-0.64053	-6.0843	0	-0.6475	-0.2	-1.51429	-2.43333	0.16076	0.943182
-0.53008	-5.94789	0	-0.48	-0.4	-1.33284	-2.22778	0.186539	0.763158
-0.71661	-5.88184	0	-0.653968	-0.7	-1.48145	-2.45	-0.0218253	0.498077
-0.0593899	-4.93145	0	-0.0732073	0	-0.463057	-0.816666	0.299	0.595455
-0.84896	-5.86624	0	-0.826144	-0.8	-1.57534	-2.45312	-0.186735	0.406522
-0.6078	-5.86469	0	-0.548921	-0.25	-1.34932	-2.27692	0.0707031	0.589394
-0.87832	-5.81773	0	-0.816	-0.7	-1.61791	-2.5275	-0.227311	0.283334
-0.95073	-6.10588	0	-0.896914	-0.5	-1.91429	-2.81389	-0.127885	0.616072
-0.4285	-5.94416	0	-0.388344	-0.35	-1.20411	-2.12667	0.268824	0.962501
-0.86194	-6.01032	0	-0.847037	-0.6	-1.68083	-2.53437	-0.114198	0.603125
-0.92603	-5.91156	0	-0.864029	-0.7	-1.69	-2.7	-0.236628	0.328261
-0.39214	-5.84576	0	-0.317037	-0.0499997	-1.135	-2.1	0.267857	0.78
-0.94283	-5.85971	0	-0.883784	-0.65	-1.69384	-2.65	-0.281081	0.261667
-0.49614	-5.93121	0	-0.426282	-0.4	-1.30821	-2.29167	0.226068	0.734375
-0.58754	-5.84873	0	-0.487187	-0.2	-1.35	-2.41176	0.0714912	0.571739
0.31846	-4.92076	0	0.300552	0.3	-0.0698793	-0.47	0.67069	0.962745
-0.94783	-5.84914	0	-0.886364	-0.85	-1.6881	-2.66053	-0.288889	0.247297
-0.99128	-5.86531	0	-0.928621	-0.85	-1.76525	-2.62105	-0.314682	0.233824
0.0570101	-5.13133	0	0.0371796	0.0999999	-0.395968	-0.82875	0.451007	0.846774
-0.70187	-5.90353	0	-0.676736	-0.6	-1.47222	-2.31364	-0.00119055	0.626471
-0.87767	-5.87687	0	-0.815705	-0.5	-1.61597	-2.62727	-0.207009	0.364
-0.5438	-5.92738	0	-0.426016	-0.0999999	-1.36	-2.425	0.157895	0.668966
-0.91348	-5.83429	0	-0.853247	-0.65	-1.63429	-2.625	-0.236842	0.235715
-0.80887	-5.89687	0	-0.771071	-0.4	-1.59114	-2.46389	-0.124519	0.465218
-0.74754	-5.85209	0	-0.686859	-0.65	-1.49531	-2.46923	-0.0725805	0.430556
0.28871	-4.97977	0	0.296104	0.3	-0.102137	-0.630357	0.626111	0.975
-0.83948	-5.90791	0	-0.784868	-0.5	-1.59746	-2.55938	-0.143628	0.422
-0.87983	-5.9014	0	-0.820229	-0.75	-1.64632	-2.58571	-0.18	0.367308
-0.78499	-5.87296	0	-0.740151	-0.5	-1.55	-2.425	-0.119907	0.454546
0.86854	-4.13333	0	0.789022	0.75	0.627027	0.508491	1.06893	1.45172
-0.96265	-5.79652	0	-0.920645	-0.75	-1.66824	-2.55833	-0.329167	0.195
-0.86526	-5.90434	0	-0.818518	-0.55	-1.65088	-2.51176	-0.154598	0.401852
-1.11022	-5.84876	0	-1.04819	-0.85	-1.82192	-2.875	-0.454205	0.0910716
-1.00095	-6.00417	0	-0.98373	-0.75	-1.81099	-2.68	-0.26573	0.466667
-0.71115	-5.96213	0	-0.697951	-0.5	-1.49054	-2.40333	-0.0255208	0.773077
-0.79736	-5.9353	0	-0.733929	-0.45	-1.57167	-2.56111	-0.0990099	0.534091
-0.46962	-5.86503	0	-0.395935	0	-1.25405	-2.16333	0.234348	0.678334
-0.86375	-5.83851	0	-0.816451	-0.6	-1.58729	-2.48	-0.20177	0.330645
-0.72821	-5.86617	0	-0.69781	-0.55	-1.46761	-2.34737	-0.0677082	0.529546
-0.5919	-5.88163	0	-0.518493	-0.4	-1.37174	-2.31429	0.0912036	0.609259
-0.15313	-4.96078	0	-0.171715	-0.0999999	-0.558333	-0.959459	0.214628	0.517105
-0.81307	-5.87547	0	-0.771168	-0.8	-1.55273	-2.4625	-0.148851	0.450001
-0.0149999	-4.9978	0	-0.0335791	-0.0499997	-0.419156	-0.857143	0.340909	0.688462
-0.52017	-5.84762	0	-0.428125	0	-1.27734	-2.275	0.150397	0.614063
-0.64303	-6.05257	0	-0.622642	-0.5	-1.47373	-2.45833	0.120482	0.875862
-0.61177	-5.9111	0	-0.569403	-0.45	-1.37193	-2.28846	0.110952	0.645653
-0.71022	-6.03597	0	-0.628035	-0.6	-1.62807	-2.49286	0.0779816	0.678261
-0.6851	-5.93699	0	-0.673776	-0.75	-1.45123	-2.33333	0.00487799	0.720589
-1.06694	-5.89707	0	-1.00517	-0.75	-1.82606	-2.8025	-0.383	0.168182
-0.7787	-5.93545	0	-0.762577	-0.75	-1.55278	-2.45	-0.0777777	0.6075
-0.61718	-5.93238	0	-0.571379	-0.55	-1.41923	-2.31905	0.090196	0.663637
-0.85124	-5.90719	0	-0.807718	-0.6	-1.63077	-2.53929	-0.147297	0.389394
-0.0695699	-6.03099	0	-0.088811	-0.2	-0.874219	-1.75417	0.701409	1.47045
-0.9442	-6.01748	0	-0.951953	-0.8	-1.77049	-2.61053	-0.197333	0.578125
-0.2541	-4.8654	0	-0.280298	-0.25	-0.627151	-0.975	0.0781457	0.423585
-0.9338	-5.87311	0	-0.88277	-0.6	-1.69179	-2.57812	-0.26381	0.305883
-0.73445	-5.92201	0	-0.70188	-0.4	-1.50987	-2.39773	-0.0352172	0.576667
-0.66055	-5.96289	0	-0.629386	-0.7	-1.43312	-2.45588	0.0435645	0.714706
-1.39972	-5.92622	0	-1.35903	-1.2	-2.16226	-3.09583	-0.715346	-0.0249995
-0.68696	-5.90213	0	-0.647757	-0.6	-1.44919	-2.32778	0.00980389	0.6
-0.62056	-5.88873	0	-0.554867	-0.35	-1.39846	-2.365	0.0833333	0.589394
-0.53282	-5.95597	0	-0.482394	-0.3	-1.32812	-2.35	0.2005	0.75926
-1.22908	-5.88312	0	-1.19586	-1.1	-1.96493	-2.85588	-0.56165	0.0660717
-0.78443	-5.82889	0	-0.704666	-0.5	-1.51493	-2.54375	-0.122481	0.341464
-1.07544	-5.87038	0	-1.0118	-1	-1.83141	-2.79167	-0.399	0.14375
-0.96141	-5.97847	0	-0.926718	-0.8	-1.77464	-2.662	-0.22125	0.428
-0.68722	-5.91715	0	-0.613636	-0.5	-1.47712	-2.46	0.019697	0.556452
-0.60866	-5.92103	0	-0.564876	-0.15	-1.39638	-2.26429	0.0828828	0.6775
0.11693	-4.7532	0	0.0904388	0.0999999	-0.231138	-0.571875	0.411471	0.744643
-1.01616	-5.76373	0	-0.959171	-0.75	-1.69211	-2.63077	-0.388889	0.0800002
-0.8662	-5.9133	0	-0.827097	-0.45	-1.62534	-2.55333	-0.177976	0.436843
-0.5807	-5.89322	0	-0.529167	-0.45	-1.34333	-2.26111	0.110638	0.6875
-0.53309	-5.9177	0	-0.486525	-0.5	-1.32931	-2.24531	0.177128	0.72
-0.79521	-5.83279	0	-0.734589	-0.5	-1.54083	-2.475	-0.139899	0.378572
0.0424101	-5.04312	0	0.0371597	0.0999999	-0.386552	-0.825	0.415484	0.749123
-0.81925	-5.83565	0	-0.756391	-0.65	-1.55902	-2.475	-0.160748	0.356
-0.94282	-5.95846	0	-0.88042	-0.4	-1.7449	-2.73333	-0.24	0.369231
-0.73112	-5.88128	0	-0.659441	-0.35	-1.47891	-2.53077	-0.0394735	0.440323
-0.99038	-5.90934	0	-0.931884	-0.65	-1.75849	-2.68333	-0.295833	0.266
-0.85467	-5.958	0	-0.83741	-0.7	-1.64737	-2.55714	-0.136667	0.502381
-0.0166199	-5.05587	0	-0.0239298	0	-0.442857	-0.910938	0.357692	0.685107
-1.00079	-5.88834	0	-0.945555	-0.6	-1.76692	-2.66364	-0.323711	0.236957
-0.7919	-5.87211	0	-0.736296	-0.55	-1.51507	-2.535	-0.122941	0.460417
-0.85943	-5.93759	0	-0.795323	-0.35	-1.65377	-2.65312	-0.149145	0.390385
0.69209	-3.93277	0	0.648432	0.6	0.487027	0.345968	0.842337	1.1075
-0.89131	-5.86232	0	-0.836014	-0.45	-1.64348	-2.55	-0.214414	0.305358
